Discos,Tiempo
10,0.002990245819091797
10,0.0019822120666503906
5,0.0029909610748291016
5,0.0033478736877441406
5,0.0029921531677246094
6,0.004987955093383789
7,0.0059833526611328125
8,0.004986286163330078
9,0.0009965896606445312
10,0.0009975433349609375
1,0.0010042190551757812
2,0.0
3,0.0019850730895996094
3,0.002000093460083008
2,0.0
4,0.0029916763305664062
6,0.005536079406738281
8,0.0059833526611328125
10,0.008305788040161133
9,0.0075681209564208984
6,0.0055999755859375
5,0.0039637088775634766
3,0.0019931793212890625
2,0.0019376277923583984
2,0.0
5,0.004985332489013672
4,0.003988742828369141
9,0.007043600082397461
7,0.005973100662231445
